program,kind,source,sha256,ghidra_version,image_bytes,load_addr,entry,functions,decompiled,failed,disassembled_bytes,body_bytes,seeds,annotations_applied,annotations_unmatched,mode
OemNetworkDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemNetworkDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2400,,0x310,9,9,0,888,828,8,8,0,export-only
OemOcDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemOcDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,7232,,0x3D0,31,31,0,4059,4030,28,28,0,export-only
OemOcPei,TE,"GM7MG7P/GMxMGxxN109A08.ROM, OemOcPei.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2496,0xFFF8223C,0xFFF823B9,15,15,0,1706,1362,11,11,0,export-only
OemPowerModeDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemPowerModeDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3584,,0x310,16,16,0,2044,1831,14,14,0,export-only
OemQkeyDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemQkeyDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3648,,0x310,15,15,0,1929,1869,12,12,0,export-only
OemSWBoardIDDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemSWBoardIDDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3136,,0x310,15,15,0,1524,1464,13,13,0,export-only
OemServiceDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemServiceDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,5696,,0x350,23,23,0,3669,2878,17,17,0,export-only
OemServiceSmm,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemServiceSmm.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,55808,,0x12B0,118,118,0,31360,28684,108,107,0,export-only
OemTurboModeDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemTurboModeDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3296,,0x310,15,15,0,1708,1586,14,14,0,export-only
OemUniWillVariableDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemUniWillVariableDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,3488,,0x310,17,17,0,1892,1832,14,14,0,export-only
OemUsbLightBarDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemUsbLightBarDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2592,,0x310,9,9,0,985,985,7,7,0,export-only
OemVariableHookDxe,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OemVariableHookDxe.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,2208,,0x310,9,9,0,700,640,8,8,0,export-only
OverClockSmiHandler,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OverClockSmiHandler.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,22528,,0x1290,41,41,0,18208,3964,36,36,0,export-only
OverclockInterface,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, OverclockInterface.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,10848,,0x3C4,17,17,0,3357,1809,13,12,0,export-only
PeiOverClock,TE,"GM7MG7P/GMxMGxxN109A08.ROM, PeiOverClock.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,672,0xFFCFB9D0,0xFFCFBB49,2,2,0,53,53,1,1,0,export-only
Setup,PE32,"GM7MG7P/GMxMGxxN109A08.ROM, Setup.efi",dfe8047f35bb1125bbb45d69c96ad83d64e59dd5e50b8d88052c0db04a2d920e,12.1.3,842592,,0x4B0,293,293,0,123951,100854,229,229,0,export-only
