program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
OemACPIDriverSmm,000012A4,FUN_000012a4,502,auto,no,,,,OemACPIDriverSmm/000012A4.asm
OemACPIDriverSmm,000014DC,register_callback_and_copy_buffer,207,annotation,yes,,,,OemACPIDriverSmm/000014DC.asm
OemACPIDriverSmm,000015AC,empty_return_stub,3,annotation,yes,,,,OemACPIDriverSmm/000015AC.asm
OemACPIDriverSmm,000015B0,copy_bytes_to_static_buffer,35,annotation,yes,,,,OemACPIDriverSmm/000015B0.asm
OemACPIDriverSmm,000015D4,range_table_contains_addr,67,annotation,yes,,,,OemACPIDriverSmm/000015D4.asm
OemACPIDriverSmm,00001618,query_protocol_value_arg6,46,annotation,yes,,,,OemACPIDriverSmm/00001618.asm
OemACPIDriverSmm,00001648,dispatch_to_base_table_method,57,annotation,yes,,,,OemACPIDriverSmm/00001648.asm
OemACPIDriverSmm,00001684,lookup_guid_in_entry_table,105,annotation,yes,,,,OemACPIDriverSmm/00001684.asm
OemACRecoveryDxe,000002C0,dxe_module_entry,32,annotation,yes,,,,OemACRecoveryDxe/000002C0.asm
OemACRecoveryDxe,000002E0,FUN_000002e0,311,annotation,no,,,,OemACRecoveryDxe/000002E0.asm
OemACRecoveryPei,FFF82DE5,forward_vtable_0x24_call,20,entry,yes,,,,OemACRecoveryPei/FFF82DE5.asm
OemApControlDxe,000002C0,cpu_pause,3,annotation,yes,,,,OemApControlDxe/000002C0.asm
OemApControlDxe,000002D0,read_timestamp_counter,10,annotation,yes,,,,OemApControlDxe/000002D0.asm
OemApControlDxe,000002E0,enable_interrupts,2,annotation,yes,,,,OemApControlDxe/000002E0.asm
OemApControlDxe,000002F0,FUN_000002f0,2,annotation,no,,,,OemApControlDxe/000002F0.asm
OemApControlDxe,00000300,read_rflags,3,annotation,yes,,,,OemApControlDxe/00000300.asm
OemApControlDxe,00000310,module_entry_scan_and_apply,28,annotation,yes,,,,OemApControlDxe/00000310.asm
OemApControlDxe,0000032C,FUN_0000032c,265,annotation,no,,,,OemApControlDxe/0000032C.asm
OemApControlDxe,00000438,apply_platform_port_registers,259,annotation,yes,,,,OemApControlDxe/00000438.asm
OemApControlDxe,0000053C,FUN_0000053c,681,auto,no,,,,OemApControlDxe/0000053C.asm
OemApControlDxe,000007E8,write_port_byte_after_wait,119,annotation,yes,,,,OemApControlDxe/000007E8.asm
OemApControlDxe,00000860,FUN_00000860,133,auto,no,,,,OemApControlDxe/00000860.asm
OemApControlDxe,000008E8,wait_port_input_buffer_empty,99,annotation,yes,,,,OemApControlDxe/000008E8.asm
OemApControlDxe,0000094C,exchange_command_and_data_byte,198,annotation,yes,,,,OemApControlDxe/0000094C.asm
OemApControlDxe,00000A14,write_port_register_byte,95,annotation,yes,,,,OemApControlDxe/00000A14.asm
OemApControlDxe,00000A74,read_port_register_byte,155,annotation,yes,,,,OemApControlDxe/00000A74.asm
OemApControlDxe,00000B10,find_config_table_entry_by_guid,105,annotation,yes,,,,OemApControlDxe/00000B10.asm
OemApControlDxe,00000B7C,wait_port_1808_ticks,96,annotation,yes,,,,OemApControlDxe/00000B7C.asm
OemApControlDxe,00000BDC,usec_to_port_1808_ticks,49,annotation,yes,,,,OemApControlDxe/00000BDC.asm
OemDDSSupportDxe,000002C0,cpu_pause,3,annotation,yes,,,,OemDDSSupportDxe/000002C0.asm
OemDDSSupportDxe,000002D0,read_tsc,10,annotation,yes,,,,OemDDSSupportDxe/000002D0.asm
OemDDSSupportDxe,000002E0,enable_interrupts,2,annotation,yes,,,,OemDDSSupportDxe/000002E0.asm
OemDDSSupportDxe,000002F0,disable_interrupts,2,annotation,yes,,,,OemDDSSupportDxe/000002F0.asm
OemDDSSupportDxe,00000300,read_rflags,3,annotation,yes,,,,OemDDSSupportDxe/00000300.asm
OemDDSSupportDxe,00000310,module_entry,28,annotation,yes,,,,OemDDSSupportDxe/00000310.asm
OemDDSSupportDxe,0000032C,init_scan_records_and_install,265,annotation,yes,,,,OemDDSSupportDxe/0000032C.asm
OemDDSSupportDxe,00000438,init_register_two_callbacks,172,annotation,yes,,,,OemDDSSupportDxe/00000438.asm
OemDDSSupportDxe,00000944,poll_status_bit1_until_clear,99,annotation,yes,,,,OemDDSSupportDxe/00000944.asm
OemDDSSupportDxe,00000A70,lookup_entry_by_id_pair,105,annotation,yes,,,,OemDDSSupportDxe/00000A70.asm
OemDDSSupportDxe,00000ADC,delay_poll_counter_port_1808,96,annotation,yes,,,,OemDDSSupportDxe/00000ADC.asm
OemDDSSupportDxe,00000B3C,delay_scaled_by_3579545,49,annotation,yes,,,,OemDDSSupportDxe/00000B3C.asm
OemDgpuBoardIDDxe,00000300,cpu_pause,3,annotation,yes,,,,OemDgpuBoardIDDxe/00000300.asm
OemDgpuBoardIDDxe,00000310,read_timestamp_counter,10,annotation,yes,,,,OemDgpuBoardIDDxe/00000310.asm
OemDgpuBoardIDDxe,00000320,enable_interrupts,2,annotation,yes,,,,OemDgpuBoardIDDxe/00000320.asm
OemDgpuBoardIDDxe,00000330,disable_interrupts,2,annotation,yes,,,,OemDgpuBoardIDDxe/00000330.asm
OemDgpuBoardIDDxe,00000340,read_rflags,3,annotation,yes,,,,OemDgpuBoardIDDxe/00000340.asm
OemDgpuBoardIDDxe,00000350,module_entry,28,annotation,yes,,,,OemDgpuBoardIDDxe/00000350.asm
OemDgpuBoardIDDxe,0000036C,cache_system_table_and_locate_protocol,265,annotation,yes,,,,OemDgpuBoardIDDxe/0000036C.asm
OemDgpuBoardIDDxe,00000478,FUN_00000478,312,auto,no,,,,OemDgpuBoardIDDxe/00000478.asm
OemDgpuBoardIDDxe,000008C4,FUN_000008c4,471,auto,no,,,,OemDgpuBoardIDDxe/000008C4.asm
OemDgpuBoardIDDxe,00000DF8,classify_mmio_word_e00f8002,87,annotation,yes,,,,OemDgpuBoardIDDxe/00000DF8.asm
OemDgpuBoardIDDxe,00000F50,wait_port_0x64_or_0x66_bit1_clear,99,annotation,yes,,,,OemDgpuBoardIDDxe/00000F50.asm
OemDgpuBoardIDDxe,00001118,find_config_table_by_first_two_qwords,105,annotation,yes,,,,OemDgpuBoardIDDxe/00001118.asm
OemDgpuBoardIDDxe,00001184,wait_port_0x1808_ticks,96,annotation,yes,,,,OemDgpuBoardIDDxe/00001184.asm
OemDgpuBoardIDDxe,000011E4,FUN_000011e4,49,auto,no,,,,OemDgpuBoardIDDxe/000011E4.asm
OemDgpuBoardIDPei,FFFAC38D,entry,37,entry,no,,,,OemDgpuBoardIDPei/FFFAC38D.asm
OemDgpuBoardIDPei,FFFAC3B2,get_variable_and_fill_tables,176,annotation,yes,,,,OemDgpuBoardIDPei/FFFAC3B2.asm
OemDgpuBoardIDPei,FFFAC462,FUN_fffac462,302,auto,no,,,,OemDgpuBoardIDPei/FFFAC462.asm
OemDgpuBoardIDPei,FFFAC5BA,call_vtable_slot_0x18_1_arg,37,annotation,yes,,,,OemDgpuBoardIDPei/FFFAC5BA.asm
OemDgpuBoardIDPei,FFFAC5DF,call_vtable_slot_0x20_5_args,45,annotation,yes,,,,OemDgpuBoardIDPei/FFFAC5DF.asm
OemDgpuBoardIDPei,FFFAC60C,FUN_fffac60c,68,auto,no,,,,OemDgpuBoardIDPei/FFFAC60C.asm
