program,addr,name,size,seed_basis,annotated,type,basis,evidence,out_file
OemACPIDriverDxe,000002C0,module_entry_store_ptrs_and_scan_table,116,annotation,yes,module-entry,hand-decoded,bios/ghidra/listings/OemACPIDriverDxe/000002C0.asm; bios/decompiled/OemACPIDriverDxe.c,OemACPIDriverDxe.c
OemACPIDriverDxe,00000334,build_adas_record_and_call_services,230,annotation,yes,serial,hand-decoded,bios/ghidra/listings/OemACPIDriverDxe/00000334.asm; bios/decompiled/OemACPIDriverDxe.c,OemACPIDriverDxe.c
OemACPIDriverDxe,000004D8,find_name_tag_record,213,annotation,yes,logic,hand-decoded,bios/ghidra/listings/OemACPIDriverDxe/000004D8.asm; bios/decompiled/OemACPIDriverDxe.c,OemACPIDriverDxe.c
OemACPIDriverDxe,000005B0,write_value_by_type_byte,109,annotation,yes,writer,hand-decoded,bios/ghidra/listings/OemACPIDriverDxe/000005B0.asm; bios/decompiled/OemACPIDriverDxe.c,OemACPIDriverDxe.c
OemACPIDriverDxe,000007A0,mem_move_bytes,176,annotation,yes,copy,hand-decoded,bios/ghidra/listings/OemACPIDriverDxe/000007A0.asm; bios/decompiled/OemACPIDriverDxe.c,OemACPIDriverDxe.c
OemACPIDriverHookDxe,00000260,cpu_pause,3,annotation,yes,delay,hand-decoded,bios/ghidra/listings/OemACPIDriverHookDxe/00000260.asm; bios/decompiled/OemACPIDriverHookDxe.c,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,00000270,read_timestamp_counter,10,annotation,yes,reader,hand-decoded,bios/ghidra/listings/OemACPIDriverHookDxe/00000270.asm; bios/decompiled/OemACPIDriverHookDxe.c,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,00000280,enable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemACPIDriverHookDxe/00000280.asm; bios/decompiled/OemACPIDriverHookDxe.c,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,00000290,disable_interrupts,2,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemACPIDriverHookDxe/00000290.asm; bios/decompiled/OemACPIDriverHookDxe.c,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,000002A0,FUN_000002a0,3,annotation,no,,,,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,00000310,module_entry,148,annotation,yes,module-entry,hand-decoded,bios/ghidra/listings/OemACPIDriverHookDxe/00000310.asm; bios/decompiled/OemACPIDriverHookDxe.c,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,000003A4,FUN_000003a4,283,auto,no,,,,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,000004CC,lookup_table_entry,96,annotation,yes,protocol,hand-decoded,bios/ghidra/listings/OemACPIDriverHookDxe/000004CC.asm; bios/decompiled/OemACPIDriverHookDxe.c,OemACPIDriverHookDxe.c
OemACPIDriverHookDxe,0000052C,get_cached_table_pointer,47,annotation,yes,protocol,hand-decoded,bios/ghidra/listings/OemACPIDriverHookDxe/0000052C.asm; bios/decompiled/OemACPIDriverHookDxe.c,OemACPIDriverHookDxe.c
OemACPIDriverSmm,00001000,save_cpu_context_and_tail_jump,194,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/00001000.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,000010D0,restore_cpu_context_and_tail_jump,172,annotation,yes,state,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/000010D0.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
OemACPIDriverSmm,00001180,mem_move_bytes,60,annotation,yes,copy,hand-decoded,bios/ghidra/listings/OemACPIDriverSmm/00001180.asm; bios/decompiled/OemACPIDriverSmm.c,OemACPIDriverSmm.c
