ts,addr,old,new
2026-09-18T23:03:10.937+02:00,0x075C,0x57,0x58
2026-09-18T23:03:11.352+02:00,0x043E,0x47,0x44
2026-09-18T23:03:11.353+02:00,0x0449,0x50,0x25
2026-09-18T23:03:11.353+02:00,0x044C,0x86,0x51
2026-09-18T23:03:11.355+02:00,0x0460,0x08,0x07
2026-09-18T23:03:11.355+02:00,0x0461,0x8C,0x6E
2026-09-18T23:03:11.355+02:00,0x0465,0x0A,0x75
2026-09-18T23:03:11.356+02:00,0x046D,0x2B,0x46
2026-09-18T23:03:11.372+02:00,0x0566,0x14,0x19
2026-09-18T23:03:11.383+02:00,0x060C,0xC0,0x98
2026-09-18T23:03:11.383+02:00,0x0610,0xEF,0xFF
2026-09-18T23:03:11.389+02:00,0x0670,0x8C,0x6E
2026-09-18T23:03:11.390+02:00,0x0680,0x02,0x00
2026-09-18T23:03:11.395+02:00,0x06CF,0x4D,0x35
2026-09-18T23:03:11.396+02:00,0x06D6,0x08,0x03
2026-09-18T23:03:11.397+02:00,0x06E4,0x08,0x03
2026-09-18T23:03:11.398+02:00,0x06F8,0xB2,0x68
2026-09-18T23:03:11.398+02:00,0x06F9,0x02,0x1A
2026-09-18T23:03:11.398+02:00,0x06FA,0x0B,0x0C
2026-09-18T23:03:11.399+02:00,0x070A,0xAA,0xAF
2026-09-18T23:03:11.405+02:00,0x075B,0x58,0x5A
2026-09-18T23:03:11.405+02:00,0x075C,0x58,0x46
2026-09-18T23:03:11.822+02:00,0x0449,0x25,0x2F
2026-09-18T23:03:11.822+02:00,0x044C,0x51,0x53
2026-09-18T23:03:11.829+02:00,0x04AD,0x1F,0x20
2026-09-18T23:03:11.843+02:00,0x0566,0x19,0x1E
2026-09-18T23:03:11.854+02:00,0x060C,0x98,0x96
2026-09-18T23:03:11.854+02:00,0x0610,0xFF,0xEF
2026-09-18T23:03:11.863+02:00,0x0694,0x00,0x02
2026-09-18T23:03:11.868+02:00,0x06CF,0x35,0x1E
2026-09-18T23:03:11.868+02:00,0x06D6,0x03,0x08
2026-09-18T23:03:11.869+02:00,0x06E3,0x00,0x01
2026-09-18T23:03:11.869+02:00,0x06E4,0x03,0x0D
2026-09-18T23:03:11.871+02:00,0x06F8,0x68,0xAC
2026-09-18T23:03:11.871+02:00,0x06F9,0x1A,0x02
2026-09-18T23:03:11.872+02:00,0x070A,0xAF,0xB4
2026-09-18T23:03:11.878+02:00,0x075B,0x5A,0x5C
2026-09-18T23:03:11.878+02:00,0x075C,0x46,0x48
2026-09-18T23:03:12.297+02:00,0x043E,0x44,0x40
2026-09-18T23:03:12.298+02:00,0x0449,0x2F,0x2E
2026-09-18T23:03:12.300+02:00,0x0460,0x07,0x06
2026-09-18T23:03:12.300+02:00,0x0461,0x6E,0x64
2026-09-18T23:03:12.301+02:00,0x0465,0x75,0xE1
2026-09-18T23:03:12.301+02:00,0x046C,0x0B,0x09
2026-09-18T23:03:12.301+02:00,0x046D,0x46,0xB9
2026-09-18T23:03:12.328+02:00,0x0566,0x1E,0x23
2026-09-18T23:03:12.339+02:00,0x0602,0x6A,0x68
2026-09-18T23:03:12.340+02:00,0x060C,0x96,0xA5
2026-09-18T23:03:12.340+02:00,0x0610,0xEF,0xFF
2026-09-18T23:03:12.341+02:00,0x062E,0x02,0x01
2026-09-18T23:03:12.346+02:00,0x0670,0x6E,0x64
2026-09-18T23:03:12.348+02:00,0x068B,0x05,0x06
2026-09-18T23:03:12.348+02:00,0x068D,0x00,0x02
2026-09-18T23:03:12.349+02:00,0x0694,0x02,0x00
2026-09-18T23:03:12.353+02:00,0x06CF,0x1E,0x05
2026-09-18T23:03:12.354+02:00,0x06D6,0x08,0x03
2026-09-18T23:03:12.355+02:00,0x06E4,0x0D,0x08
2026-09-18T23:03:12.356+02:00,0x06F8,0xAC,0xD3
2026-09-18T23:03:12.356+02:00,0x06F9,0x02,0x19
2026-09-18T23:03:12.356+02:00,0x06FA,0x0C,0x0D
2026-09-18T23:03:12.357+02:00,0x070A,0xB4,0xB9
2026-09-18T23:03:12.363+02:00,0x075B,0x5C,0x5D
2026-09-18T23:03:12.363+02:00,0x075C,0x48,0x49
2026-09-18T23:03:12.783+02:00,0x0449,0x2E,0x27
2026-09-18T23:03:12.784+02:00,0x044C,0x53,0x4C
2026-09-18T23:03:12.795+02:00,0x04AD,0x20,0x21
2026-09-18T23:03:12.817+02:00,0x0566,0x23,0x27
2026-09-18T23:03:12.835+02:00,0x0602,0x68,0x69
2026-09-18T23:03:12.836+02:00,0x060C,0xA5,0xD2
2026-09-18T23:03:12.837+02:00,0x0610,0xFF,0xEF
2026-09-18T23:03:12.850+02:00,0x0680,0x00,0x04
2026-09-18T23:03:12.852+02:00,0x068B,0x06,0x05
2026-09-18T23:03:12.852+02:00,0x068D,0x02,0x01
2026-09-18T23:03:12.852+02:00,0x0694,0x00,0x02
2026-09-18T23:03:12.859+02:00,0x06CF,0x05,0x51
2026-09-18T23:03:12.860+02:00,0x06D6,0x03,0x08
2026-09-18T23:03:12.861+02:00,0x06E4,0x08,0x03
2026-09-18T23:03:12.863+02:00,0x06F8,0xD3,0x0B
2026-09-18T23:03:12.864+02:00,0x06F9,0x19,0x01
2026-09-18T23:03:12.866+02:00,0x070A,0xB9,0xBE
2026-09-18T23:03:12.875+02:00,0x075B,0x5D,0x5F
2026-09-18T23:03:12.875+02:00,0x075C,0x49,0x4B
2026-09-18T23:03:13.299+02:00,0x043E,0x40,0x3F
2026-09-18T23:03:13.300+02:00,0x0449,0x27,0x23
2026-09-18T23:03:13.300+02:00,0x044C,0x4C,0x4D
2026-09-18T23:03:13.303+02:00,0x0460,0x06,0x05
2026-09-18T23:03:13.303+02:00,0x0461,0x64,0x60
2026-09-18T23:03:13.303+02:00,0x0464,0x0B,0x0C
2026-09-18T23:03:13.303+02:00,0x0465,0xE1,0x3E
2026-09-18T23:03:13.303+02:00,0x046C,0x09,0x0A
2026-09-18T23:03:13.303+02:00,0x046D,0xB9,0x0A
2026-09-18T23:03:13.329+02:00,0x0566,0x27,0x2D
2026-09-18T23:03:13.346+02:00,0x0602,0x69,0x68
2026-09-18T23:03:13.347+02:00,0x060C,0xD2,0xA4
2026-09-18T23:03:13.351+02:00,0x062E,0x01,0x02
2026-09-18T23:03:13.359+02:00,0x0670,0x64,0x60
2026-09-18T23:03:13.361+02:00,0x0680,0x04,0x05
2026-09-18T23:03:13.362+02:00,0x068B,0x05,0x02
2026-09-18T23:03:13.363+02:00,0x0694,0x02,0x00
2026-09-18T23:03:13.369+02:00,0x06CF,0x51,0x37
2026-09-18T23:03:13.370+02:00,0x06D6,0x08,0x03
2026-09-18T23:03:13.371+02:00,0x06E3,0x01,0x00
2026-09-18T23:03:13.371+02:00,0x06E4,0x03,0x0D
2026-09-18T23:03:13.373+02:00,0x06F8,0x0B,0xC4
2026-09-18T23:03:13.373+02:00,0x06F9,0x01,0x1A
2026-09-18T23:03:13.373+02:00,0x06FA,0x0D,0x0E
2026-09-18T23:03:13.375+02:00,0x070A,0xBE,0xC0
2026-09-18T23:03:13.385+02:00,0x075B,0x5F,0x60
2026-09-18T23:03:13.385+02:00,0x075C,0x4B,0x4C
2026-09-18T23:03:13.811+02:00,0x043E,0x3F,0x3C
2026-09-18T23:03:13.812+02:00,0x0449,0x23,0x2E
2026-09-18T23:03:13.813+02:00,0x044C,0x4D,0x54
2026-09-18T23:03:13.814+02:00,0x0460,0x05,0x04
2026-09-18T23:03:13.814+02:00,0x0461,0x60,0x5A
2026-09-18T23:03:13.819+02:00,0x04AD,0x21,0x22
2026-09-18T23:03:13.831+02:00,0x0566,0x2D,0x32
2026-09-18T23:03:13.841+02:00,0x060C,0xA4,0xB4
2026-09-18T23:03:13.849+02:00,0x0670,0x60,0x5A
2026-09-18T23:03:13.851+02:00,0x0680,0x05,0x00
2026-09-18T23:03:13.852+02:00,0x068B,0x02,0x05
2026-09-18T23:03:13.852+02:00,0x068D,0x01,0x07
2026-09-18T23:03:13.856+02:00,0x06CF,0x37,0x1F
2026-09-18T23:03:13.856+02:00,0x06D6,0x03,0x08
2026-09-18T23:03:13.858+02:00,0x06E4,0x0D,0x08
2026-09-18T23:03:13.859+02:00,0x06F8,0xC4,0x0B
2026-09-18T23:03:13.859+02:00,0x06F9,0x1A,0x01
2026-09-18T23:03:13.860+02:00,0x070A,0xC0,0xC5
2026-09-18T23:03:13.866+02:00,0x075B,0x60,0x5F
2026-09-18T23:03:13.866+02:00,0x075C,0x4C,0x4B
2026-09-18T23:03:14.289+02:00,0x043E,0x3C,0x3D
2026-09-18T23:03:14.289+02:00,0x0449,0x2E,0x28
2026-09-18T23:03:14.291+02:00,0x044C,0x54,0x51
2026-09-18T23:03:14.292+02:00,0x0465,0x3E,0x30
2026-09-18T23:03:14.293+02:00,0x046D,0x0A,0x00
2026-09-18T23:03:14.309+02:00,0x0566,0x32,0x36
2026-09-18T23:03:14.318+02:00,0x0602,0x68,0x6A
2026-09-18T23:03:14.319+02:00,0x060C,0xB4,0x96
2026-09-18T23:03:14.321+02:00,0x062E,0x02,0x01
2026-09-18T23:03:14.327+02:00,0x068D,0x07,0x04
2026-09-18T23:03:14.332+02:00,0x06CF,0x1F,0x07
2026-09-18T23:03:14.332+02:00,0x06D6,0x08,0x04
2026-09-18T23:03:14.333+02:00,0x06E4,0x08,0x03
2026-09-18T23:03:14.335+02:00,0x06F8,0x0B,0xC2
2026-09-18T23:03:14.335+02:00,0x06F9,0x01,0x19
2026-09-18T23:03:14.335+02:00,0x06FA,0x0E,0x0F
2026-09-18T23:03:14.336+02:00,0x070A,0xC5,0xC9
2026-09-18T23:03:14.341+02:00,0x075B,0x5F,0x5D
2026-09-18T23:03:14.341+02:00,0x075C,0x4B,0x49
2026-09-18T23:03:14.761+02:00,0x043E,0x3D,0x3F
2026-09-18T23:03:14.762+02:00,0x0449,0x28,0x2D
2026-09-18T23:03:14.762+02:00,0x044C,0x51,0x5B
2026-09-18T23:03:14.769+02:00,0x04AD,0x22,0x23
2026-09-18T23:03:14.781+02:00,0x0566,0x36,0x3B
2026-09-18T23:03:14.793+02:00,0x0602,0x6A,0x69
2026-09-18T23:03:14.793+02:00,0x060C,0x96,0x9A
2026-09-18T23:03:14.801+02:00,0x0680,0x00,0x05
2026-09-18T23:03:14.801+02:00,0x068D,0x04,0x00
2026-09-18T23:03:14.806+02:00,0x06CF,0x07,0x54
2026-09-18T23:03:14.806+02:00,0x06D6,0x04,0x09
2026-09-18T23:03:14.807+02:00,0x06E3,0x00,0x01
2026-09-18T23:03:14.807+02:00,0x06E4,0x03,0x0E
2026-09-18T23:03:14.809+02:00,0x06F8,0xC2,0x79
2026-09-18T23:03:14.809+02:00,0x06F9,0x19,0x01
2026-09-18T23:03:14.810+02:00,0x070A,0xC9,0xCE
2026-09-18T23:03:14.815+02:00,0x075B,0x5D,0x5C
2026-09-18T23:03:14.815+02:00,0x075C,0x49,0x48
2026-09-18T23:03:15.232+02:00,0x0449,0x2D,0x29
2026-09-18T23:03:15.232+02:00,0x044C,0x5B,0x55
2026-09-18T23:03:15.234+02:00,0x0464,0x0C,0x0B
2026-09-18T23:03:15.234+02:00,0x0465,0x30,0xD0
2026-09-18T23:03:15.234+02:00,0x046C,0x0A,0x09
2026-09-18T23:03:15.234+02:00,0x046D,0x00,0x9D
2026-09-18T23:03:15.250+02:00,0x0566,0x3B,0x40
2026-09-18T23:03:15.259+02:00,0x0602,0x69,0x6A
2026-09-18T23:03:15.260+02:00,0x060C,0x9A,0xA8
2026-09-18T23:03:15.268+02:00,0x068D,0x00,0x03
2026-09-18T23:03:15.268+02:00,0x0694,0x00,0x02
2026-09-18T23:03:15.272+02:00,0x06CF,0x54,0x3D
2026-09-18T23:03:15.273+02:00,0x06D6,0x09,0x04
2026-09-18T23:03:15.274+02:00,0x06E4,0x0E,0x09
2026-09-18T23:03:15.275+02:00,0x06F8,0x79,0x1C
2026-09-18T23:03:15.275+02:00,0x06F9,0x01,0x19
2026-09-18T23:03:15.275+02:00,0x06FA,0x0F,0x10
2026-09-18T23:03:15.276+02:00,0x070A,0xCE,0xD2
2026-09-18T23:03:15.282+02:00,0x075B,0x5C,0x5A
2026-09-18T23:03:15.282+02:00,0x075C,0x48,0x46
2026-09-18T23:03:15.698+02:00,0x043E,0x3F,0x3D
2026-09-18T23:03:15.699+02:00,0x0449,0x29,0x3C
2026-09-18T23:03:15.699+02:00,0x044C,0x55,0x61
2026-09-18T23:03:15.706+02:00,0x04AD,0x23,0x24
2026-09-18T23:03:15.719+02:00,0x0566,0x40,0x45
2026-09-18T23:03:15.729+02:00,0x0602,0x6A,0x68
2026-09-18T23:03:15.730+02:00,0x060C,0xA8,0xAF
2026-09-18T23:03:15.730+02:00,0x0610,0xEF,0xFF
2026-09-18T23:03:15.732+02:00,0x062E,0x01,0x00
2026-09-18T23:03:15.737+02:00,0x0680,0x05,0x04
2026-09-18T23:03:15.738+02:00,0x068D,0x03,0x00
2026-09-18T23:03:15.739+02:00,0x0694,0x02,0x00
2026-09-18T23:03:15.743+02:00,0x06CF,0x3D,0x25
2026-09-18T23:03:15.743+02:00,0x06D6,0x04,0x09
2026-09-18T23:03:15.744+02:00,0x06E4,0x09,0x04
2026-09-18T23:03:15.745+02:00,0x06F8,0x1C,0x63
2026-09-18T23:03:15.746+02:00,0x06F9,0x19,0x00
2026-09-18T23:03:16.172+02:00,0x0449,0x3C,0x2E
2026-09-18T23:03:16.172+02:00,0x044C,0x61,0x51
2026-09-18T23:03:16.176+02:00,0x0465,0xD0,0xAA
2026-09-18T23:03:16.208+02:00,0x0566,0x45,0x49
2026-09-18T23:03:16.227+02:00,0x060C,0xAF,0xBB
2026-09-18T23:03:16.228+02:00,0x0610,0xFF,0xEF
2026-09-18T23:03:16.240+02:00,0x0680,0x04,0x00
2026-09-18T23:03:16.242+02:00,0x068B,0x05,0x00
2026-09-18T23:03:16.243+02:00,0x068D,0x00,0x02
2026-09-18T23:03:16.250+02:00,0x06CF,0x25,0x0C
2026-09-18T23:03:16.250+02:00,0x06D6,0x09,0x04
2026-09-18T23:03:16.252+02:00,0x06E3,0x01,0x00
2026-09-18T23:03:16.252+02:00,0x06E4,0x04,0x0E
2026-09-18T23:03:16.254+02:00,0x06F8,0x63,0x0B
2026-09-18T23:03:16.254+02:00,0x06F9,0x00,0x18
2026-09-18T23:03:16.254+02:00,0x06FA,0x10,0x11
2026-09-18T23:03:16.684+02:00,0x0449,0x2E,0x28
2026-09-18T23:03:16.685+02:00,0x044C,0x51,0x4C
2026-09-18T23:03:16.688+02:00,0x046D,0x9D,0x79
2026-09-18T23:03:16.695+02:00,0x04AD,0x24,0x25
2026-09-18T23:03:16.717+02:00,0x0566,0x49,0x4F
2026-09-18T23:03:16.734+02:00,0x0602,0x68,0x6A
2026-09-18T23:03:16.735+02:00,0x060C,0xBB,0xAB
2026-09-18T23:03:16.739+02:00,0x062E,0x00,0x01
2026-09-18T23:03:16.748+02:00,0x0680,0x00,0x02
2026-09-18T23:03:16.749+02:00,0x068B,0x00,0x06
2026-09-18T23:03:16.758+02:00,0x06CF,0x0C,0x58
2026-09-18T23:03:16.759+02:00,0x06D6,0x04,0x09
2026-09-18T23:03:16.760+02:00,0x06E4,0x0E,0x09
2026-09-18T23:03:16.762+02:00,0x06F8,0x0B,0x74
2026-09-18T23:03:16.762+02:00,0x06F9,0x18,0x01
2026-09-18T23:03:17.196+02:00,0x043E,0x3D,0x3E
2026-09-18T23:03:17.197+02:00,0x0449,0x28,0x23
2026-09-18T23:03:17.197+02:00,0x044C,0x4C,0x49
2026-09-18T23:03:17.216+02:00,0x0566,0x4F,0x54
2026-09-18T23:03:17.226+02:00,0x0602,0x6A,0x68
2026-09-18T23:03:17.227+02:00,0x060C,0xAB,0x8E
2026-09-18T23:03:17.230+02:00,0x062E,0x01,0x00
2026-09-18T23:03:17.236+02:00,0x068B,0x06,0x02
2026-09-18T23:03:17.236+02:00,0x068D,0x02,0x01
2026-09-18T23:03:17.240+02:00,0x06CF,0x58,0x3F
2026-09-18T23:03:17.241+02:00,0x06D6,0x09,0x04
2026-09-18T23:03:17.242+02:00,0x06E4,0x09,0x04
2026-09-18T23:03:17.243+02:00,0x06F8,0x74,0xCB
2026-09-18T23:03:17.243+02:00,0x06F9,0x01,0x18
2026-09-18T23:03:17.243+02:00,0x06FA,0x11,0x12
2026-09-18T23:03:17.674+02:00,0x043E,0x3E,0x3C
2026-09-18T23:03:17.675+02:00,0x0449,0x23,0x24
2026-09-18T23:03:17.675+02:00,0x044C,0x49,0x48
2026-09-18T23:03:17.682+02:00,0x04AD,0x25,0x26
2026-09-18T23:03:17.695+02:00,0x0566,0x54,0x58
2026-09-18T23:03:17.705+02:00,0x0602,0x68,0x69
2026-09-18T23:03:17.706+02:00,0x060C,0x8E,0x93
2026-09-18T23:03:17.714+02:00,0x068B,0x02,0x05
2026-09-18T23:03:17.714+02:00,0x068D,0x01,0x08
2026-09-18T23:03:17.719+02:00,0x06CF,0x3F,0x27
2026-09-18T23:03:17.720+02:00,0x06D6,0x04,0x00
2026-09-18T23:03:17.720+02:00,0x06E3,0x00,0x01
2026-09-18T23:03:17.720+02:00,0x06E4,0x04,0x0E
2026-09-18T23:03:17.722+02:00,0x06F8,0xCB,0xC2
2026-09-18T23:03:17.722+02:00,0x06F9,0x18,0x00
2026-09-18T23:03:18.148+02:00,0x043E,0x3C,0x3D
2026-09-18T23:03:18.149+02:00,0x0449,0x24,0x25
2026-09-18T23:03:18.149+02:00,0x044C,0x48,0x4E
2026-09-18T23:03:18.168+02:00,0x0566,0x58,0x5D
2026-09-18T23:03:18.179+02:00,0x0602,0x69,0x6A
2026-09-18T23:03:18.180+02:00,0x060C,0x93,0x8C
2026-09-18T23:03:18.189+02:00,0x068D,0x08,0x04
2026-09-18T23:03:18.193+02:00,0x06CF,0x27,0x10
2026-09-18T23:03:18.194+02:00,0x06D6,0x00,0x05
2026-09-18T23:03:18.195+02:00,0x06E4,0x0E,0x0A
2026-09-18T23:03:18.196+02:00,0x06F8,0xC2,0x79
2026-09-18T23:03:18.196+02:00,0x06F9,0x00,0x18
2026-09-18T23:03:18.197+02:00,0x06FA,0x12,0x13
2026-09-18T23:03:18.624+02:00,0x043E,0x3D,0x3E
2026-09-18T23:03:18.625+02:00,0x0449,0x25,0x29
2026-09-18T23:03:18.625+02:00,0x044C,0x4E,0x55
2026-09-18T23:03:18.654+02:00,0x0566,0x5D,0x62
2026-09-18T23:03:18.665+02:00,0x0602,0x6A,0x68
2026-09-18T23:03:18.666+02:00,0x060C,0x8C,0x99
2026-09-18T23:03:18.674+02:00,0x0680,0x02,0x04
2026-09-18T23:03:18.674+02:00,0x068D,0x04,0x00
2026-09-18T23:03:18.679+02:00,0x06CF,0x10,0x5C
2026-09-18T23:03:18.679+02:00,0x06D6,0x05,0x00
2026-09-18T23:03:18.680+02:00,0x06E4,0x0A,0x05
2026-09-18T23:03:18.682+02:00,0x06F8,0x79,0xC0
2026-09-18T23:03:18.682+02:00,0x06F9,0x18,0x00
2026-09-18T23:03:19.106+02:00,0x043E,0x3E,0x3D
2026-09-18T23:03:19.108+02:00,0x0449,0x29,0x39
2026-09-18T23:03:19.108+02:00,0x044C,0x55,0x61
2026-09-18T23:03:19.119+02:00,0x04AD,0x26,0x27
2026-09-18T23:03:19.135+02:00,0x0566,0x62,0x67
2026-09-18T23:03:19.145+02:00,0x0602,0x68,0x69
2026-09-18T23:03:19.146+02:00,0x060C,0x99,0xA0
2026-09-18T23:03:19.155+02:00,0x068B,0x05,0x06
2026-09-18T23:03:19.155+02:00,0x068D,0x00,0x02
2026-09-18T23:03:19.159+02:00,0x06CF,0x5C,0x44
2026-09-18T23:03:19.160+02:00,0x06D6,0x00,0x05
2026-09-18T23:03:19.161+02:00,0x06E4,0x05,0x00
2026-09-18T23:03:19.162+02:00,0x06F8,0xC0,0x04
2026-09-18T23:03:19.162+02:00,0x06F9,0x00,0x18
2026-09-18T23:03:19.162+02:00,0x06FA,0x13,0x14
2026-09-18T23:03:19.586+02:00,0x043E,0x3D,0x3E
2026-09-18T23:03:19.587+02:00,0x0449,0x39,0x33
2026-09-18T23:03:19.587+02:00,0x044C,0x61,0x55
2026-09-18T23:03:19.589+02:00,0x046D,0x79,0x71
2026-09-18T23:03:19.606+02:00,0x0566,0x67,0x6C
2026-09-18T23:03:19.616+02:00,0x0602,0x69,0x68
2026-09-18T23:03:19.617+02:00,0x060C,0xA0,0xA4
2026-09-18T23:03:19.620+02:00,0x062E,0x00,0x04
2026-09-18T23:03:19.625+02:00,0x0680,0x04,0x02
2026-09-18T23:03:19.626+02:00,0x068B,0x06,0x02
2026-09-18T23:03:19.626+02:00,0x068D,0x02,0x01
2026-09-18T23:03:19.630+02:00,0x06CF,0x44,0x2C
2026-09-18T23:03:19.630+02:00,0x06D6,0x05,0x00
2026-09-18T23:03:19.632+02:00,0x06E3,0x01,0x00
2026-09-18T23:03:19.632+02:00,0x06E4,0x00,0x0A
2026-09-18T23:03:19.633+02:00,0x06F8,0x04,0x7B
2026-09-18T23:03:19.633+02:00,0x06F9,0x18,0x0C
2026-09-18T23:03:20.060+02:00,0x0449,0x33,0x2B
2026-09-18T23:03:20.061+02:00,0x044C,0x55,0x4D
2026-09-18T23:03:20.073+02:00,0x04AD,0x27,0x28
2026-09-18T23:03:20.094+02:00,0x0566,0x6C,0x70
