ts,addr,old,new
2026-09-23T17:59:31.008+02:00,0x0F2A,0xAA,0xC8
2026-09-23T17:59:31.008+02:00,0x0F2B,0xAA,0xC8
2026-09-23T17:59:31.008+02:00,0x0F2C,0xAA,0xC8
2026-09-23T17:59:31.008+02:00,0x0F2D,0xAA,0xC8
2026-09-23T17:59:31.213+02:00,0x0F2E,0xAA,0xC8
2026-09-23T17:59:31.213+02:00,0x0F2F,0xAA,0xC8
2026-09-23T17:59:31.627+02:00,0x0F39,0xFF,0x49
2026-09-23T17:59:31.627+02:00,0x0F4A,0xFF,0x48
2026-09-23T17:59:31.627+02:00,0x0F5A,0xAA,0xC8
2026-09-23T17:59:31.849+02:00,0x0F5B,0xAA,0xC8
2026-09-23T17:59:31.849+02:00,0x0F5C,0xAA,0xC8
2026-09-23T17:59:31.849+02:00,0x0F5D,0xAA,0xC8
2026-09-23T17:59:31.849+02:00,0x0F5E,0xAA,0xC8
2026-09-23T17:59:31.849+02:00,0x0F5F,0xAA,0xC8
2026-09-23T17:59:51.227+02:00,0x0F13,0x3A,0x3C
2026-09-23T17:59:51.227+02:00,0x0F14,0x3C,0x3E
2026-09-23T17:59:51.435+02:00,0x0F05,0x41,0x43
2026-09-23T17:59:51.435+02:00,0x0F06,0x43,0x45
2026-09-23T17:59:51.437+02:00,0x0F15,0x3E,0x40
2026-09-23T17:59:51.437+02:00,0x0F16,0x40,0x44
2026-09-23T17:59:51.437+02:00,0x0F17,0x42,0x46
2026-09-23T17:59:51.662+02:00,0x0F07,0x4B,0x47
2026-09-23T17:59:51.662+02:00,0x0F08,0x50,0xFF
2026-09-23T17:59:51.662+02:00,0x0F09,0x53,0xFF
2026-09-23T17:59:51.662+02:00,0x0F18,0x45,0x48
2026-09-23T17:59:51.662+02:00,0x0F19,0x4F,0xFF
2026-09-23T17:59:51.662+02:00,0x0F1A,0x52,0xFF
2026-09-23T17:59:51.662+02:00,0x0F28,0x8C,0x6E
2026-09-23T17:59:51.662+02:00,0x0F29,0xAA,0x6E
2026-09-23T17:59:51.662+02:00,0x0F2A,0xC8,0x6E
2026-09-23T17:59:51.875+02:00,0x0F2B,0xC8,0x6E
2026-09-23T17:59:51.875+02:00,0x0F2C,0xC8,0x6E
2026-09-23T17:59:51.875+02:00,0x0F2D,0xC8,0x6E
2026-09-23T17:59:51.875+02:00,0x0F2E,0xC8,0x6E
2026-09-23T17:59:52.085+02:00,0x0F2F,0xC8,0x6E
2026-09-23T17:59:52.085+02:00,0x0F30,0x32,0x34
