path,sha256,bytes
windows/decompiled/native/ACPIDriver.c,30e50abaf60371908eb6ed7026d6617dbfc22bab687b473cc6cb971d2a5e0e66,70886
windows/decompiled/native/ACPIDriverDll.c,e0ac951ea82c73677d8711d4b17332272649d848a338a8f4eb005d7ef5d5c264,10668472
windows/decompiled/native/GC3_launcher.c,1970f54ce61e27cd5ac62b4a0b786e22800d08b55097b3794909f60ceab219d5,1329
windows/decompiled/native/GamingCenter3_Cross.c,5f3b6b66799699077dcecb8cd11834ef54280184048e3c98edbe680210e5725e,56693822
windows/decompiled/native/UEFI_Firmware.c,0f572f68bea0eb9fd9469ec6bd7b1a1f73b204af1c978a4858304aa75d21773e,540250
windows/decompiled/native/clrcompression.c,c48696b8d331a88e9d517961e65ba36f64c9719169efaba7ced7cd9b573bbba2,237576
