program,addr,name,outcome,instructions_checked,instructions_unchecked,detail,assembler
bank0,8020,FUN_CODE_8020,assembler-gap,3,0,no bytes emitted at 8020,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8026,FUN_CODE_8026,match,6,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8038,FUN_CODE_8038,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8044,FUN_CODE_8044,assembler-gap,0,1,ajmp 0x845d,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8048,FUN_CODE_8048,partial,6,2,"2 of 8 instruction(s) unchecked, first: anl CY, 0x31",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8054,index_case_00,match,11,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,805B,index_table_default,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,806C,FUN_CODE_806c,match,18,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8094,index_case_01,match,31,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,80D7,index_case_02,match,31,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,811A,index_case_03,match,31,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,815D,index_case_04,match,30,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,819D,index_case_05,match,31,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,81DF,index_case_06,match,30,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,821F,index_case_epilogue,assembler-gap,9,0,no bytes emitted at 821F,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8274,index_table_default,match,16,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8294,FUN_CODE_8294,partial,143,3,"3 of 146 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8398,FUN_CODE_8398,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8399,FUN_CODE_8399,partial,41,2,"2 of 43 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,83D6,FUN_CODE_83d6,partial,25,2,"2 of 27 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,83FF,FUN_CODE_83ff,match,80,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,849C,FUN_CODE_849c,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8648,FUN_CODE_8648,match,9,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8653,seed_fan_table_base,partial,89,9,"9 of 98 instruction(s) unchecked, first: push DPH",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8749,FUN_CODE_8749,partial,163,2,"2 of 165 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,888D,fan_table_mailbox_handler,partial,83,2,"2 of 85 instruction(s) unchecked, first: movc A, @A+DPTR",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8931,FUN_CODE_8931,partial,235,5,"5 of 240 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8939,FUN_CODE_8939,match,2,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,893E,FUN_CODE_893e,match,2,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8B14,FUN_CODE_8b14,partial,159,15,"15 of 174 instruction(s) unchecked, first: push DPH",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8C46,FUN_CODE_8c46,partial,203,5,"5 of 208 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8DE0,FUN_CODE_8de0,partial,158,5,"5 of 163 instruction(s) unchecked, first: clr CY",sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8F03,FUN_CODE_8f03,match,2,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8F09,FUN_CODE_8f09,match,3,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8F0E,FUN_CODE_8f0e,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8F0F,FUN_CODE_8f0f,match,9,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8F20,FUN_CODE_8f20,match,97,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,8FDB,FUN_CODE_8fdb,match,32,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9000,thunk_FUN_CODE_703d,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9006,FUN_CODE_9006,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9007,FUN_CODE_9007,match,4,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,900D,FUN_CODE_900d,assembler-gap,4,0,no bytes emitted at 900D,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
bank0,9015,FUN_CODE_9015,match,1,0,,sdas8051 05.50.4+NoICE+SDCCmods-WIP-R14
