addr,name,from_register,register_status,derivation,programs
0x0869,XDATA_0869,XDATA_0869,present-untested,scalar-name,bank0;bank1
0x086A,XDATA_086A,XDATA_086A,present-untested,scalar-name,bank0;bank1
0x086B,XDATA_086B,XDATA_086B,present-untested,scalar-name,bank0;bank1
0x086D,XDATA_086D,XDATA_086D,present-untested,scalar-name,bank0;bank1
0x086E,XDATA_086E,XDATA_086E,present-untested,scalar-name,bank0;bank1
0x1C39,XDATA_1C39,XDATA_1C39,present-untested,scalar-name,bank0;bank1
0x1C3A,XDATA_1C3A,XDATA_1C3A,present-untested,scalar-name,bank0;bank1
0x1F01,XDATA_1F01,XDATA_1F01,present-untested,scalar-name,bank0;bank1
0x1F07,XDATA_1F07,XDATA_1F07,present-untested,scalar-name,bank0;bank1
0x07C4,GPU_DYNAMIC_BOOST_STATUS,"GPU_DYNAMIC_BOOST_STATUS (DSDT DBEN bit 3, DBST bit 5)",present-untested,scalar-name,bank0;bank1
0x07D3,GFID,GFID (DSDT bits 4-6),present-untested,scalar-name,bank0;bank1
0x07D4,CPUA,CPUA (DSDT),present-untested,scalar-name,bank0;bank1
0x07D5,DBAP,DBAP (DSDT),present-untested,scalar-name,bank0;bank1
0x07D6,DBSP,DBSP (DSDT),unknown-not-absent,scalar-name,bank0;bank1
0x07D7,CGCT,CGCT (DSDT),unknown-not-absent,scalar-name,bank0;bank1
0x07C7,XDATA_07C7,XDATA_07C7 (no DSDT field; no direct site found),unknown-not-absent,scalar-name,bank0;bank1
0x07C8,XDATA_07C8,XDATA_07C8 (no DSDT field; no direct site found),unknown-not-absent,scalar-name,bank0;bank1
