program,row_addr,row_name,insn_addr,bytes,ghidra_text,disasm_text,ghidra_canonical,disasm_canonical,reason,verdict
common,6243,FUN_CODE_6243,6246,b1bc,acall 0x65bc,acall 0x65bc,acall 0x65bc,acall 0x65bc,GAP_MNEMONICS acall,agree
common,6243,FUN_CODE_6243,6259,2121,ajmp 0x6121,ajmp 0x6121,ajmp 0x6121,ajmp 0x6121,GAP_MNEMONICS ajmp,agree
common,6243,FUN_CODE_6243,626F,2116,ajmp 0x6116,ajmp 0x6116,ajmp 0x6116,ajmp 0x6116,GAP_MNEMONICS ajmp,agree
common,65A6,FUN_CODE_65a6,60F9,9257,"mov 0x57, CY","mov  0x2a.7,c",mov 0x57|c,mov 0x57|c,BIT_UNSUPPORTED 0x92,agree
common,65BC,FUN_CODE_65bc,65D7,0116,ajmp 0x6016,ajmp 0x6016,ajmp 0x6016,ajmp 0x6016,GAP_MNEMONICS ajmp,agree
common,6811,FUN_CODE_6811,6812,8170,ajmp 0x6c70,ajmp 0x6c70,ajmp 0x6c70,ajmp 0x6c70,GAP_MNEMONICS ajmp,agree
common,6A02,FUN_CODE_6a02,6AD7,9296,"mov 0x96, CY","mov  p1.6,c",mov 0x96|c,mov 0x96|c,BIT_UNSUPPORTED 0x92,agree
common,6A02,FUN_CODE_6a02,6AD9,9197,acall 0x6c97,acall 0x6c97,acall 0x6c97,acall 0x6c97,GAP_MNEMONICS acall,agree
common,6A02,FUN_CODE_6a02,6ADB,9295,"mov 0x95, CY","mov  p1.5,c",mov 0x95|c,mov 0x95|c,BIT_UNSUPPORTED 0x92,agree
common,6A02,FUN_CODE_6a02,6AF3,011f,ajmp 0x681f,ajmp 0x681f,ajmp 0x681f,ajmp 0x681f,GAP_MNEMONICS ajmp,agree
common,6BFF,FUN_CODE_6bff,6C06,0117,ajmp 0x6817,ajmp 0x6817,ajmp 0x6817,ajmp 0x6817,GAP_MNEMONICS ajmp,agree
common,6C70,FUN_CODE_6c70,6C74,0117,ajmp 0x6817,ajmp 0x6817,ajmp 0x6817,ajmp 0x6817,GAP_MNEMONICS ajmp,agree
common,6D46,FUN_CODE_6d46,67F5,b2b4,cpl 0xb4,cpl  p3.4,cpl 0xb4,cpl 0xb4,BIT_UNSUPPORTED 0xB2,agree
