file_offset,region,runtime,opcode,length,disp,target,target_offset,in_region,target_class,frame_onto,frame_over,calls_stub,calls_trampoline
0x0D20E,bank0,0xD20E,jnz,2,0x0E,0xD21E,0x0D21E,yes,entry,23,1,,
0x0D242,bank0,0xD242,jz,2,0xF8,0xD23C,0x0D23C,yes,entry,23,1,,
0x0D247,bank0,0xD247,jnz,2,0x03,0xD24C,0x0D24C,yes,entry,24,0,,
0x0D24A,bank0,0xD24A,sjmp,2,0x42,0xD28E,0x0D28E,yes,entry,24,0,,
0x0D24C,bank0,0xD24C,sjmp,2,0x36,0xD284,0x0D284,yes,entry,23,1,,
0x0D268,bank0,0xD268,jz,2,0xF8,0xD262,0x0D262,yes,entry,23,1,,
0x0D26D,bank0,0xD26D,jnz,2,0x12,0xD281,0x0D281,yes,entry,23,1,,
0x0D27F,bank0,0xD27F,sjmp,2,0x08,0xD289,0x0D289,yes,entry,24,0,,
0x0D283,bank0,0xD283,jz,2,0x74,0xD2F9,0x0D2F9,yes,other,1,23,,
0x0D287,bank0,0xD287,sjmp,2,0x05,0xD28E,0x0D28E,yes,entry,24,0,,
0x0D28C,bank0,0xD28C,jz,2,0xF0,0xD27E,0x0D27E,yes,other,1,23,,
0x0D31E,bank0,0xD31E,jz,2,0x22,0xD342,0x0D342,yes,other,2,22,,
0x0D322,bank0,0xD322,djnz,2,0xE0,0xD304,0x0D304,yes,entry,1,23,,
0x0D324,bank0,0xD324,jz,2,0x04,0xD32A,0x0D32A,yes,entry,24,0,,
0x0D32C,bank0,0xD32C,djnz,2,0xE0,0xD30E,0x0D30E,yes,other,1,23,,
0x0D32E,bank0,0xD32E,jz,2,0x10,0xD340,0x0D340,yes,entry,24,0,,
0x0D32F,bank0,0xD32F,jbc,3,0xD5,0xD307,0x0D307,yes,other,0,24,,
0x0D331,bank0,0xD331,djnz,3,0x90,0xD2C4,0x0D2C4,yes,other,0,24,,
0x0D335,bank0,0xD335,djnz,2,0x74,0xD3AB,0x0D3AB,yes,other,2,22,,
0x0D33B,bank0,0xD33B,djnz,2,0xE0,0xD31D,0x0D31D,yes,other,1,23,,
0x0D343,bank0,0xD343,jz,2,0x12,0xD357,0x0D357,yes,other,24,0,,
0x0D34A,bank0,0xD34A,djnz,2,0xE0,0xD32C,0x0D32C,yes,other,1,23,,
0x0D34C,bank0,0xD34C,jz,2,0x09,0xD357,0x0D357,yes,other,24,0,,
0x0D34F,bank0,0xD34F,djnz,3,0x90,0xD2E2,0x0D2E2,yes,entry,0,24,,
0x0D353,bank0,0xD353,djnz,2,0x74,0xD3C9,0x0D3C9,yes,other,2,22,,
0x0D35B,bank0,0xD35B,jz,2,0x2B,0xD388,0x0D388,yes,other,24,0,,
0x0D35F,bank0,0xD35F,djnz,2,0x12,0xD373,0x0D373,yes,entry,1,23,,
0x0D362,bank0,0xD362,djnz,2,0xE0,0xD344,0x0D344,yes,entry,3,21,,
0x0D366,bank0,0xD366,djnz,2,0xF0,0xD358,0x0D358,yes,entry,1,23,,
0x0D36B,bank0,0xD36B,djnz,2,0xF0,0xD35D,0x0D35D,yes,entry,1,23,,
0x0D36F,bank0,0xD36F,djnz,2,0xE0,0xD351,0x0D351,yes,entry,1,23,,
0x0D371,bank0,0xD371,jz,2,0x07,0xD37A,0x0D37A,yes,entry,24,0,,
0x0D378,bank0,0xD378,jb,3,0x90,0xD30B,0x0D30B,yes,other,0,24,,
0x0D37C,bank0,0xD37C,djnz,2,0xE0,0xD35E,0x0D35E,yes,other,2,22,,
0x0D384,bank0,0xD384,jc,2,0x02,0xD388,0x0D388,yes,other,24,0,,
0x0D38B,bank0,0xD38B,djnz,2,0xE0,0xD36D,0x0D36D,yes,entry,1,23,,
0x0D391,bank0,0xD391,djnz,2,0x12,0xD3A5,0x0D3A5,yes,entry,1,23,,
0x0D394,bank0,0xD394,djnz,2,0xEF,0xD385,0x0D385,yes,entry,3,21,,
0x0D399,bank0,0xD399,djnz,2,0xE0,0xD37B,0x0D37B,yes,other,1,23,,
0x0D3A1,bank0,0xD3A1,jc,2,0x02,0xD3A5,0x0D3A5,yes,entry,24,0,,
0x0D3A7,bank0,0xD3A7,djnz,2,0xE0,0xD389,0x0D389,yes,entry,1,23,,
0x0D3AC,bank0,0xD3AC,djnz,2,0xE0,0xD38E,0x0D38E,yes,other,1,23,,
0x0D3AF,bank0,0xD3AF,jnz,2,0x16,0xD3C7,0x0D3C7,yes,other,24,0,,
0x0D3B3,bank0,0xD3B3,djnz,2,0xE0,0xD395,0x0D395,yes,entry,1,23,,
0x0D3B9,bank0,0xD3B9,djnz,2,0xE0,0xD39B,0x0D39B,yes,other,1,23,,
0x0D3BB,bank0,0xD3BB,jnz,2,0x04,0xD3C1,0x0D3C1,yes,entry,24,0,,
0x0D3C3,bank0,0xD3C3,djnz,2,0xE0,0xD3A5,0x0D3A5,yes,entry,1,23,,
0x0D3D0,bank0,0xD3D0,djnz,2,0xFC,0xD3CE,0x0D3CE,yes,other,24,0,,
0x0D3D5,bank0,0xD3D5,djnz,2,0xF0,0xD3C7,0x0D3C7,yes,other,1,23,,
0x0D3D9,bank0,0xD3D9,djnz,2,0xF0,0xD3CB,0x0D3CB,yes,other,1,23,,
0x0D3DD,bank0,0xD3DD,djnz,2,0xF0,0xD3CF,0x0D3CF,yes,other,1,23,,
0x0D3E4,bank0,0xD3E4,djnz,2,0xF0,0xD3D6,0x0D3D6,yes,other,0,24,,
0x0D3EA,bank0,0xD3EA,cjne,3,0x12,0xD3FF,0x0D3FF,yes,entry,24,0,,
0x0D400,bank0,0xD400,cjne,3,0x11,0xD414,0x0D414,yes,entry,24,0,,
