addr,total,main_ec,pd_image,common,bank0,bank1,pd-image
0x0573,2,2,0,0,0,2,0
0x0574,7,7,0,0,0,7,0
0x0575,9,9,0,0,0,9,0
0x0576,3,3,0,0,0,3,0
0x0577,3,3,0,0,0,3,0
0x0578,3,3,0,0,0,3,0
0x0579,2,2,0,0,0,2,0
0x057A,2,2,0,0,0,2,0
0x057B,3,3,0,0,0,3,0
0x057C,3,3,0,0,0,3,0
0x057D,3,3,0,0,0,3,0
0x057E,0,0,0,0,0,0,0
0x057F,0,0,0,0,0,0,0
0x0580,0,0,0,0,0,0,0
0x0581,0,0,0,0,0,0,0
0x0582,0,0,0,0,0,0,0
0x0583,0,0,0,0,0,0,0
0x0584,0,0,0,0,0,0,0
0x0585,0,0,0,0,0,0,0
0x0586,0,0,0,0,0,0,0
0x0587,0,0,0,0,0,0,0
0x0588,0,0,0,0,0,0,0
0x0589,0,0,0,0,0,0,0
0x058A,0,0,0,0,0,0,0
0x058B,0,0,0,0,0,0,0
0x058C,0,0,0,0,0,0,0
0x058D,0,0,0,0,0,0,0
0x058E,0,0,0,0,0,0,0
0x058F,0,0,0,0,0,0,0
0x0590,0,0,0,0,0,0,0
0x0591,0,0,0,0,0,0,0
0x0592,0,0,0,0,0,0,0
0x0593,0,0,0,0,0,0,0
0x0594,0,0,0,0,0,0,0
0x0595,0,0,0,0,0,0,0
0x0596,0,0,0,0,0,0,0
0x0597,0,0,0,0,0,0,0
0x0598,0,0,0,0,0,0,0
0x0599,0,0,0,0,0,0,0
0x059A,0,0,0,0,0,0,0
0x059B,0,0,0,0,0,0,0
0x059C,0,0,0,0,0,0,0
0x059D,0,0,0,0,0,0,0
0x059E,0,0,0,0,0,0,0
0x059F,0,0,0,0,0,0,0
0x05A0,0,0,0,0,0,0,0
0x05A1,0,0,0,0,0,0,0
0x05A2,0,0,0,0,0,0,0
0x05A3,0,0,0,0,0,0,0
0x05A4,0,0,0,0,0,0,0
0x05A5,0,0,0,0,0,0,0
0x05A6,0,0,0,0,0,0,0
0x05A7,0,0,0,0,0,0,0
0x05A8,0,0,0,0,0,0,0
0x05A9,0,0,0,0,0,0,0
0x05AA,0,0,0,0,0,0,0
0x05AB,0,0,0,0,0,0,0
0x05AC,0,0,0,0,0,0,0
0x05AD,0,0,0,0,0,0,0
0x05AE,0,0,0,0,0,0,0
0x05AF,0,0,0,0,0,0,0
0x05B0,0,0,0,0,0,0,0
0x05B1,0,0,0,0,0,0,0
0x05B2,1,1,0,0,0,1,0
0x05B3,0,0,0,0,0,0,0
0x05B4,0,0,0,0,0,0,0
0x05B5,0,0,0,0,0,0,0
0x05B6,0,0,0,0,0,0,0
0x05B7,0,0,0,0,0,0,0
0x05B8,0,0,0,0,0,0,0
0x05B9,2,2,0,0,0,2,0
0x05BA,0,0,0,0,0,0,0
0x05BB,0,0,0,0,0,0,0
0x05BC,0,0,0,0,0,0,0
0x05BD,0,0,0,0,0,0,0
0x05BE,0,0,0,0,0,0,0
0x05BF,0,0,0,0,0,0,0
0x05C0,0,0,0,0,0,0,0
0x05C1,0,0,0,0,0,0,0
0x05C2,1,1,0,0,0,1,0
0x05C3,0,0,0,0,0,0,0
0x05C4,0,0,0,0,0,0,0
0x05C5,0,0,0,0,0,0,0
0x05C6,0,0,0,0,0,0,0
0x05C7,0,0,0,0,0,0,0
0x05C8,0,0,0,0,0,0,0
0x05C9,0,0,0,0,0,0,0
0x05CA,0,0,0,0,0,0,0
0x05CB,0,0,0,0,0,0,0
0x05CC,1,1,0,0,0,1,0
0x05CD,0,0,0,0,0,0,0
0x05CE,0,0,0,0,0,0,0
0x05CF,0,0,0,0,0,0,0
0x05D0,0,0,0,0,0,0,0
0x05D1,0,0,0,0,0,0,0
0x05D2,0,0,0,0,0,0,0
0x05D3,0,0,0,0,0,0,0
0x05D4,0,0,0,0,0,0,0
