addr,file_offset,region,runtime,frame_onto,frame_over,access,window,terminator
0x07D6,0x2332A,pd-image,0x332A,22,2,DPTR handed to lcall 0x35e8 -- direction unresolved here,lcall 0x35e8,flow opcode
0x07D6,0x2333B,pd-image,0x333B,24,0,DPTR handed to lcall 0x3509 -- direction unresolved here,lcall 0x3509,flow opcode
0x07D6,0x23360,pd-image,0x3360,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c",flow opcode
0x07D6,0x233E0,pd-image,0x33E0,22,2,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf5c3",flow opcode
0x07D6,0x233EB,pd-image,0x33EB,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf22e",flow opcode
0x07D6,0x233F8,pd-image,0x33F8,22,2,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x9e86",flow opcode
0x07D6,0x23403,pd-image,0x3403,24,0,read x1,"movx a,@dptr ; mov 0xf0,#0x77 ; mul ab ; add a,#0x9b ; mov 0x82,a ; clr a ; addc a,#0x08",max_insns (8) exhausted
0x07D6,0x23426,pd-image,0x3426,24,0,read x1,"movx a,@dptr ; mov 0xf0,#0x77 ; mul ab ; add a,#0xda ; mov 0x82,a ; clr a ; addc a,#0x08",max_insns (8) exhausted
0x07D6,0x2343B,pd-image,0x343B,24,0,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0xf407",flow opcode
0x07D6,0x23449,pd-image,0x3449,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf755",flow opcode
0x07D6,0x23455,pd-image,0x3455,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c",flow opcode
0x07D6,0x2345E,pd-image,0x345E,24,0,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0xf407",flow opcode
0x07D6,0x2346C,pd-image,0x346C,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xebe4",flow opcode
0x07D6,0x23474,pd-image,0x3474,24,0,no movx found in the decoded window,ret,flow opcode
0x07D6,0x234D6,pd-image,0x34D6,24,0,read x1,"movx a,@dptr ; mov 0xf0,#0x5e ; mul ab ; add a,#0xfc ; mov 0x82,a ; clr a ; addc a,#0x08",max_insns (8) exhausted
0x07D6,0x23562,pd-image,0x3562,24,0,read x1,"movx a,@dptr",DPTR reloaded
0x07D6,0x23612,pd-image,0x3612,24,0,read x1,"movx a,@dptr ; mov r5,a",DPTR reloaded
0x07D6,0x236CB,pd-image,0x36CB,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r6,#0x00 ; mov r4,#0x02 ; mov r5,#0x60 ; ljmp 0x0c7a",flow opcode
0x07D6,0x23823,pd-image,0x3823,24,0,read x1,"movx a,@dptr ; ret",flow opcode
0x07D6,0x238C7,pd-image,0x38C7,24,0,read x1,"movx a,@dptr ; mov r3,a ; mov 0xf0,#0x60",DPTR reloaded
0x07D6,0x26401,pd-image,0x6401,24,0,"write x2, walks 3 consecutive bytes (inc dptr)","mov a,r7 ; movx @dptr,a ; inc dptr ; mov a,r5 ; movx @dptr,a ; inc dptr ; lcall 0x10e8",flow opcode
0x07D6,0x2641F,pd-image,0x641F,24,0,DPTR handed to lcall 0x3539 -- direction unresolved here,lcall 0x3539,flow opcode
0x07D6,0x26455,pd-image,0x6455,24,0,read x1,"movx a,@dptr ; lcall 0x350b",flow opcode
0x07D6,0x2651E,pd-image,0x651E,24,0,read x1,"movx a,@dptr ; lcall 0x3617",flow opcode
0x07D6,0x26543,pd-image,0x6543,24,0,DPTR handed to lcall 0x34d9 -- direction unresolved here,lcall 0x34d9,flow opcode
0x07D6,0x2658A,pd-image,0x658A,24,0,read x1,"movx a,@dptr ; mov r5,a ; lcall 0x39bc",flow opcode
0x07D6,0x265BF,pd-image,0x65BF,24,0,read x1,"movx a,@dptr ; lcall 0x39bc",flow opcode
0x07D6,0x26D8B,pd-image,0x6D8B,24,0,write x1,"mov a,r7 ; movx @dptr,a",DPTR reloaded
0x07D6,0x26DE7,pd-image,0x6DE7,24,0,read x1,"movx a,@dptr ; mov r6,a ; mov 0xf0,#0x60 ; lcall 0x8802",flow opcode
0x07D6,0x26E11,pd-image,0x6E11,24,0,DPTR handed to lcall 0x884e -- direction unresolved here,lcall 0x884e,flow opcode
0x07D6,0x26E33,pd-image,0x6E33,24,0,read x1,"movx a,@dptr ; lcall 0x8850",flow opcode
0x07D6,0x26E86,pd-image,0x6E86,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov 0xf0,#0x60",DPTR reloaded
0x07D6,0x26F72,pd-image,0x6F72,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x889b",flow opcode
0x07D6,0x26F83,pd-image,0x6F83,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0x8866",flow opcode
0x07D6,0x2806F,pd-image,0x806F,24,0,"write x2, walks 2 consecutive bytes (inc dptr)","movx @dptr,a ; clr a ; mov r6,a ; inc dptr ; movx @dptr,a",DPTR reloaded
0x07D6,0x287DA,pd-image,0x87DA,24,0,read x1,"movx a,@dptr",DPTR reloaded
0x07D6,0x288BE,pd-image,0x88BE,24,0,"read x1, write x1","mov a,r7 ; movx @dptr,a ; movx a,@dptr ; mov r3,a ; mov 0xf0,#0x5e ; mul ab ; add a,#0x00",max_insns (8) exhausted
0x07D6,0x288FC,pd-image,0x88FC,24,0,read x1,"movx a,@dptr ; lcall 0x6fd4",flow opcode
