addr,file_offset,region,runtime,frame_onto,frame_over,access,window
0x07D0,0x26273,pd-image,0x6273,22,2,DPTR handed to lcall 0x3509 -- direction unresolved here,lcall 0x3509
0x07D0,0x262A6,pd-image,0x62A6,0,24,read x1,"movx a,@dptr ; mov r7,a ; ljmp 0x63d8"
0x07D0,0x262D2,pd-image,0x62D2,0,24,read x1,"movx a,@dptr ; mov r7,a ; ljmp 0x63d8"
0x07D0,0x262DA,pd-image,0x62DA,22,2,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x01 ; lcall 0xd013"
0x07D0,0x262EE,pd-image,0x62EE,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x08 ; mov r2,#0x05 ; ljmp 0x63d8"
0x07D0,0x262FA,pd-image,0x62FA,21,3,DPTR handed to lcall 0x38ec -- direction unresolved here,lcall 0x38ec
0x07D0,0x26312,pd-image,0x6312,0,24,DPTR handed to lcall 0x39ac -- direction unresolved here,lcall 0x39ac
0x07D0,0x2631B,pd-image,0x631B,3,21,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c"
0x07D0,0x2633A,pd-image,0x633A,0,24,read x1,"movx a,@dptr ; mov r7,a ; ljmp 0x63d8"
0x07D0,0x26345,pd-image,0x6345,24,0,DPTR handed to lcall 0x347b -- direction unresolved here,lcall 0x347b
0x07D0,0x2636D,pd-image,0x636D,24,0,DPTR handed to lcall 0x357e -- direction unresolved here,lcall 0x357e
0x07D0,0x2638A,pd-image,0x638A,24,0,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0x63ec"
0x07D0,0x263AB,pd-image,0x63AB,0,24,read x1,"movx a,@dptr ; mov r7,a ; sjmp +0x26"
0x07D0,0x263B2,pd-image,0x63B2,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x01 ; lcall 0x63ec"
0x07D0,0x263D3,pd-image,0x63D3,0,24,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0xccb7"
0x07D0,0x263DE,pd-image,0x63DE,22,2,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0xf407"
0x07D0,0x263EF,pd-image,0x63EF,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c"
0x07D0,0x263F8,pd-image,0x63F8,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c"
0x07D0,0x27766,pd-image,0x7766,24,0,DPTR handed to lcall 0x37ae -- direction unresolved here,lcall 0x37ae
0x07D0,0x2778A,pd-image,0x778A,24,0,DPTR handed to lcall 0x347b -- direction unresolved here,lcall 0x347b
0x07D0,0x277B2,pd-image,0x77B2,24,0,DPTR handed to lcall 0x34d9 -- direction unresolved here,lcall 0x34d9
0x07D0,0x277C9,pd-image,0x77C9,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf70b"
0x07D0,0x277DE,pd-image,0x77DE,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x03 ; sjmp +0x46"
0x07D0,0x277E7,pd-image,0x77E7,24,0,DPTR handed to lcall 0x38b6 -- direction unresolved here,lcall 0x38b6
0x07D0,0x27826,pd-image,0x7826,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x04 ; mov r2,#0x06 ; ljmp 0x792e"
0x07D0,0x27843,pd-image,0x7843,24,0,DPTR handed to lcall 0x3a23 -- direction unresolved here,"mov r3,#0x09 ; lcall 0x3a23"
0x07D0,0x2784E,pd-image,0x784E,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0xff ; mov r2,#0xa8 ; mov r1,#0x24 ; lcall 0x352c"
0x07D0,0x2786C,pd-image,0x786C,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0xff ; mov r2,#0x06 ; ljmp 0x792e"
0x07D0,0x27882,pd-image,0x7882,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x03 ; mov r2,#0x01 ; ljmp 0x792e"
0x07D0,0x27898,pd-image,0x7898,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c"
0x07D0,0x278B7,pd-image,0x78B7,0,24,read x1,"movx a,@dptr ; mov r7,a ; ljmp 0x792e"
0x07D0,0x278BF,pd-image,0x78BF,24,0,DPTR handed to lcall 0x357e -- direction unresolved here,lcall 0x357e
0x07D0,0x278DC,pd-image,0x78DC,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf755"
0x07D0,0x278ED,pd-image,0x78ED,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xef59"
0x07D0,0x278FF,pd-image,0x78FF,24,0,DPTR handed to lcall 0x3720 -- direction unresolved here,lcall 0x3720
0x07D0,0x2790A,pd-image,0x790A,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c"
0x07D0,0x27929,pd-image,0x7929,0,24,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0xccb7"
0x07D0,0x27934,pd-image,0x7934,22,2,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; lcall 0xf407"
0x07D0,0x27942,pd-image,0x7942,24,0,DPTR handed to lcall 0x37ae -- direction unresolved here,lcall 0x37ae
0x07D0,0x27965,pd-image,0x7965,24,0,DPTR handed to lcall 0x388d -- direction unresolved here,lcall 0x388d
0x07D0,0x27994,pd-image,0x7994,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x01 ; lcall 0xc24e"
0x07D0,0x2799E,pd-image,0x799E,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov r5,#0x01 ; lcall 0xe6c0"
0x07D0,0x279A8,pd-image,0x79A8,21,3,DPTR handed to lcall 0x34d9 -- direction unresolved here,lcall 0x34d9
0x07D0,0x279D7,pd-image,0x79D7,24,0,read x1,"movx a,@dptr ; mov r7,a ; mov a,#0x03 ; mov r3,a ; mov r2,a ; ljmp 0x7b07"
0x07D0,0x279E9,pd-image,0x79E9,23,1,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xe4d0"
0x07D0,0x279F7,pd-image,0x79F7,24,0,read x1,"movx a,@dptr ; mov r3,a ; lcall 0x34da"
0x07D0,0x27A25,pd-image,0x7A25,22,2,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf75c"
0x07D0,0x27A36,pd-image,0x7A36,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xef79"
0x07D0,0x27A3E,pd-image,0x7A3E,22,2,DPTR handed to lcall 0x38ec -- direction unresolved here,lcall 0x38ec
0x07D0,0x27A4F,pd-image,0x7A4F,24,0,DPTR handed to lcall 0x34d9 -- direction unresolved here,lcall 0x34d9
0x07D0,0x27A79,pd-image,0x7A79,24,0,DPTR handed to lcall 0x347b -- direction unresolved here,lcall 0x347b
0x07D0,0x27A9D,pd-image,0x7A9D,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x04 ; mov r2,#0x03 ; sjmp +0x5f"
0x07D0,0x27AA8,pd-image,0x7AA8,24,0,DPTR handed to lcall 0x357e -- direction unresolved here,lcall 0x357e
0x07D0,0x27AC5,pd-image,0x7AC5,24,0,DPTR handed to lcall 0x39a5 -- direction unresolved here,lcall 0x39a5
0x07D0,0x27ACE,pd-image,0x7ACE,24,0,read x1,"movx a,@dptr ; mov r7,a ; lcall 0xf56b"
0x07D0,0x27AEC,pd-image,0x7AEC,0,24,DPTR handed to lcall 0x39ac -- direction unresolved here,lcall 0x39ac
0x07D0,0x27AFE,pd-image,0x7AFE,0,24,read x1,"movx a,@dptr ; mov r7,a ; mov r3,#0x04 ; mov r2,#0x00 ; clr a ; mov r5,a ; lcall 0xccb7"
0x07D0,0x27B10,pd-image,0x7B10,24,0,no movx found in the decoded window,ret
0x07D0,0x283C9,pd-image,0x83C9,24,0,DPTR handed to lcall 0x37ae -- direction unresolved here,lcall 0x37ae
0x07D0,0x283E2,pd-image,0x83E2,0,24,read x1,"movx a,@dptr ; mov r7,a ; clr a ; mov r5,a ; mov r4,a ; lcall 0xd83d"
