addr,file_offset,region,runtime,frame_onto,frame_over,access,window
0x07D5,0x2B258,pd-image,0xB258,24,0,read x1,"movx a,@dptr"
0x07D5,0x2B2CD,pd-image,0xB2CD,20,4,DPTR handed to ljmp 0x10c8 -- direction unresolved here,ljmp 0x10c8
0x07D5,0x2BA67,pd-image,0xBA67,22,2,write x1,"mov a,r5 ; movx @dptr,a"
0x07D5,0x2BA92,pd-image,0xBA92,24,0,read x1,"movx a,@dptr ; jnz +0x1f"
0x07D5,0x2BFEE,pd-image,0xBFEE,23,1,write x1,"mov a,r7 ; movx @dptr,a ; sjmp +0x08"
0x07D5,0x2BFFD,pd-image,0xBFFD,24,0,read x1,"movx a,@dptr ; cjne a,#0x01,+0x16"
0x07D5,0x2C01A,pd-image,0xC01A,24,0,read x1,"movx a,@dptr ; jz +0x11"
0x07D5,0x2C0A5,pd-image,0xC0A5,23,1,write x1,"mov a,r7 ; movx @dptr,a ; sjmp +0x08"
0x07D5,0x2C0B4,pd-image,0xC0B4,24,0,read x1,"movx a,@dptr ; cjne a,#0x01,+0x14"
0x07D5,0x2C0CF,pd-image,0xC0CF,24,0,read x1,"movx a,@dptr ; jz +0x11"
0x07D5,0x2D07C,pd-image,0xD07C,24,0,read x1,"movx a,@dptr ; mov r5,a ; lcall 0xbbe7"
0x07D5,0x2DF03,pd-image,0xDF03,24,0,read x1,"movx a,@dptr ; lcall 0x9914"
0x07D5,0x2E222,pd-image,0xE222,24,0,write x1,"mov a,r5 ; movx @dptr,a"
0x07D5,0x2E231,pd-image,0xE231,22,2,read x1,"movx a,@dptr"
0x07D5,0x2EE73,pd-image,0xEE73,22,2,read x1,"movx a,@dptr"
