ts,ac,status,capacity,charge_now,current_now,voltage_now,profile,ec_hex
2026-09-09T00:15:26+02:00,0,Discharging,70,1400000,1939000,14571000,Trickle,00000410d0070000603b7d003e003e0092070000000000000000000000000000000000000000000000000000000000000000010093077805eb380000040034000700000000000000911300001c000032715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000260c9307bd0195510a46463b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:16:26+02:00,0,Discharging,69,1380000,1939000,14521000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000001004f076405b9380000040034000700000000000000911200001b000032715502005200cb808001b30000000000013c430507f6000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300c9307bd0195510a45453b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:17:26+02:00,0,Discharging,67,1340000,2483000,14500000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100b3093c05a43800000400340007000000000000009118000022000032715502005200cb808001b30000000000013c430507f40000023c2d2d082d00320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300cb309bd0195510a43433b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:18:27+02:00,0,Discharging,65,1300000,1905000,14467000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000001001b08140583380000040032000700000000000000901400001d000030715502005200cb808001b30000000000013c430507fb0000023c2d2d082d00320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300c7107bd0195510a41413b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:19:27+02:00,0,Discharging,63,1260000,2007000,14476000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100d707ec048c380000040031000700000000000000901400001d000030715502005200cb808001b30000000000013c430507f60000023c2d2d082d00320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300cd707bd0195510a3f3f3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:20:27+02:00,0,Discharging,62,1240000,2007000,14429000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100d707d8045d380000040032000700000000000000901300001c000030715502005200cb808001b30000000000013c430507f9000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300cd707bd0195510a3e3e3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:21:27+02:00,0,Discharging,60,1200000,1905000,14432000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000001007107b00460380000040033000700000000000000901300001b000031715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300c7107bd0195510a3c3c3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:22:27+02:00,0,Discharging,58,1160000,1905000,14401000,Trickle,00000410d0070000603b7d003e003e009207000000000000000000000000000000000000000000000000000000000000000001007107880441380000040033000700000000000000901300001c000031715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300c7107bd0195510a3a3a3b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:23:28+02:00,0,Discharging,56,1120000,1973000,14389000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100b5076004353800000400340007000000000000008f1300001c000031715502005200cb808001b30000000000013c430507ff000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a0000300cb507bd0195510a38383b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:24:28+02:00,0,Discharging,55,1100000,2483000,14359000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100b3094c04173800000400340007000000000000008f1500001e000032715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a00003a0cb309bd0195510a37373b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
2026-09-09T00:25:28+02:00,0,Discharging,53,1060000,2041000,14345000,Trickle,00000410d0070000603b7d003e003e00920700000000000000000000000000000000000000000000000000000000000000000100f9072404093800000400340007000000000000008f1400001d000032715502005200cb808001b30000000000013c430507fb000000002d2d000000320000010000000000000000b00000cc00020000000000000000000000000000000ec0000000000047000000000000000a00003a0cf907bd0195510a35353b1d000000000000000000000000000000000001003011301101005c2b1e019a009a009610000000000000000000000032000000000000000000000000000000000000000000000000ffff0000000000000000
