ts,phase,ac,charging,capacity,remaining_mwh,wmi_rate_mw,ec_current_ma,ec_voltage_mv,ec_07a6,ec_07b9,ec_07d0,ec_07d1,ec_07cc
2026-09-19T11:44:36+02:00,biosdefaults_nohdmi_stationary,1,1,73,22192,22394,1360,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:44:47+02:00,biosdefaults_nohdmi_stationary,1,1,73,22192,22394,1360,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:44:59+02:00,biosdefaults_nohdmi_stationary,1,1,74,22496,22394,1360,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:45:10+02:00,biosdefaults_nohdmi_stationary,1,1,74,22496,22394,1326,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:45:21+02:00,biosdefaults_nohdmi_stationary,1,1,74,22496,21834,1326,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:45:33+02:00,biosdefaults_nohdmi_stationary,1,1,74,22496,21834,1326,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:45:45+02:00,biosdefaults_nohdmi_stationary,1,1,74,22496,21834,1326,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:45:56+02:00,biosdefaults_nohdmi_stationary,1,1,75,22800,21834,1326,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:46:08+02:00,biosdefaults_nohdmi_stationary,1,1,75,22800,21834,1326,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:46:19+02:00,biosdefaults_nohdmi_stationary,1,1,75,22800,21274,1292,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:46:30+02:00,biosdefaults_nohdmi_stationary,1,1,75,22800,21274,1292,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:46:42+02:00,biosdefaults_nohdmi_stationary,1,1,76,22800,21274,1292,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:46:53+02:00,biosdefaults_nohdmi_stationary,1,1,76,23104,20714,1258,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:47:05+02:00,biosdefaults_nohdmi_stationary,1,1,76,23104,20714,1258,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:47:16+02:00,biosdefaults_nohdmi_stationary,1,1,76,23104,20714,1258,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:47:28+02:00,biosdefaults_nohdmi_stationary,1,1,76,23104,20714,1258,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:47:39+02:00,biosdefaults_nohdmi_stationary,1,1,77,23408,20714,1258,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:47:50+02:00,biosdefaults_nohdmi_stationary,1,1,77,23408,20714,1258,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:48:02+02:00,biosdefaults_nohdmi_stationary,1,1,77,23408,20714,1224,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:48:13+02:00,biosdefaults_nohdmi_stationary,1,1,77,23408,20154,1224,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:48:24+02:00,biosdefaults_nohdmi_stationary,1,1,77,23408,20154,1224,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:48:36+02:00,biosdefaults_nohdmi_stationary,1,1,78,23408,20154,1224,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:48:47+02:00,biosdefaults_nohdmi_stationary,1,1,78,23712,20154,1224,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:48:58+02:00,biosdefaults_nohdmi_stationary,1,1,78,23712,20154,1224,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:49:10+02:00,biosdefaults_nohdmi_stationary,1,1,78,23712,20154,1224,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:49:21+02:00,biosdefaults_nohdmi_stationary,1,1,78,23712,19595,1190,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:49:33+02:00,biosdefaults_nohdmi_stationary,1,1,78,23712,19595,1190,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:49:44+02:00,biosdefaults_nohdmi_stationary,1,1,79,24016,19595,1190,16466,0x28,0x00,0x00,0x00,0x00
2026-09-19T11:49:55+02:00,biosdefaults_nohdmi_stationary,1,1,79,24016,19035,1156,16466,0x28,0x00,0x00,0x00,0x00
